,name,sub_type,management,ward_name,lga_name,state_name,geometry
0,Arabic And Islamic Training Center,Standard,Faith Based,Awori Oniwaya,Agege,Lagos,POINT (3.316265929896128 6.620998127249273)
1,Art and Craft Centre Bale Adeyemo Street,Adult Education,Public,Aiyetoro,Ajeromi/Ifelodun,Lagos,POINT (3.343597879785743 6.456789684706473)
2,Home Economics Centre,Adult Education,Public,Amukoko,Ajeromi/Ifelodun,Lagos,POINT (3.340561000000037 6.464956000000029)
3,Anchor University,Adult Education,Private,Ayobo,Alimosho,Lagos,POINT (3.24253 6.60076)
4,Alimosho Resource Centre,Adult Education,Public,Oki,Alimosho,Lagos,POINT (3.296800000000076 6.615938000000028)
5,Tensrings Music Institute Festac Town,Standard,Private,Ifelodun,Amuwo Odofin,Lagos,POINT (3.2928 6.47307)
6,City College Of Technology And Management,Standard,Private,Ajara Vetho,Badagry,Lagos,POINT (2.94004 6.44477)
7,Steduron College Of Health Technology,Standard,Private,Ajara Vetho,Badagry,Lagos,POINT (2.94113 6.44326)
8,Ivie Technical And Technical College,Standard,Private,Ajara Vetho,Badagry,Lagos,POINT (2.93513 6.44514)
9,The Certified Institute Of Shipping Of Nigeria,Standard,Private,Araromi-Ale,Badagry,Lagos,POINT (3.04682 6.48327)
10,Lasu Foundation Badagry,Standard,Public,Awhanjigoh,Badagry,Lagos,POINT (2.90494 6.41144)
11,Lagos State University Epe,Adult Education,Public,Mayunre-Oriba,Epe,Lagos,POINT (3.999895901409186 6.585401178114787)
12,Yaba College Of Technology Epe Campus Odoragushin,Standard,Public,Odoragunsin,Epe,Lagos,POINT (3.985807789643043 6.661980659390698)
13,Agriculture Youth Empowerment School,Adult Education,Public,Odoragunsin,Epe,Lagos,POINT (3.95971 6.62854)
14,Genesis Centre School,Standard,Private,Addo/Okeira,Eti Osa,Lagos,POINT (3.57944 6.48791)
15,Moder Montessori International London,Standard,Private,Ajah,Eti Osa,Lagos,POINT (3.55608 6.4602)
16,Lagos Business School Pan Atlantic University,Adult Education,Private,Sangotedo,Eti Osa,Lagos,POINT (3.60272 6.47419)
17,Nigerian Institute For Oceanography And Marine Research,Standard,Public,Tarkwa Bay,Eti Osa,Lagos,POINT (3.41101 6.42237)
18,National Open University,Adult Education,Public,Victoria Island,Eti Osa,Lagos,POINT (3.40899 6.434)
19,Orimedu Skill Acquisition Center,Standard,Public,Orimedu 1,Ibeju Lekki,Lagos,POINT (3.90907 6.43958)
20,Pan Atlantic University,Adult Education,Private,Orimedu 2,Ibeju Lekki,Lagos,POINT (3.85104 6.47893)
21,Grajos Institute Of Mass Communication,Standard,Private,Abule Egba/Ilupeju,Ifako/Ijaye,Lagos,POINT (3.30212 6.65449)
22,Christ Gospel Inter College Of Theology,Standard,Faith Based,Ijaiye Gbirinmi,Ifako/Ijaye,Lagos,POINT (3.29653 6.67398)
23,Dof Institute Of Catering And Hotel Management,Standard,Private,Ijaiye Ojokoro,Ifako/Ijaye,Lagos,POINT (3.28552 6.67168)
24,Keke Senior High School,Adult Education,Public,Ijaiye/Ifako,Ifako/Ijaye,Lagos,POINT (3.330947000000037 6.631363000000022)
25,Community Vacational Central Ikeja,Adult Education,Public,G R A,Ikeja,Lagos,POINT (3.34383633817693 6.584723938267847)
26,Lagos State University College Of Medicine,Adult Education,Public,G R A,Ikeja,Lagos,POINT (3.34193 6.58911)
27,Business School Netherland,Standard,Private,G R A,Ikeja,Lagos,POINT (3.358806567400893 6.572857094821821)
28,Starland Vocational School,Standard,Private,Ogba/Oluwole,Ikeja,Lagos,POINT (3.34318 6.62472)
29,Nigeria Customs Service Training College Ikeja,Adult Education,Public Private,Orile Ikeja,Ikeja,Lagos,POINT (3.3472 6.5949)
30,Success Academy,Standard,Private,Abosan,Ikorodu,Lagos,POINT (3.50328 6.56339)
31,Caleb University,Adult Education,Public,Isiu,Ikorodu,Lagos,POINT (3.64175 6.66788)
32,Lagos State Polytechnic,Standard,Public,Itunpate/Itumaja,Ikorodu,Lagos,POINT (3.52138 6.6452)
33,Valem School,Standard,Private,Maja,Ikorodu,Lagos,POINT (3.65728 6.59106)
34,Surepass College,Standard,Private,Majidun,Ikorodu,Lagos,POINT (3.476132374888643 6.618954132840483)
35,Mimshaack School,Standard,Private,Owutu,Ikorodu,Lagos,POINT (3.48054 6.63817)
36,Katrino Nursery And Primary School,Standard,Private,Owutu,Ikorodu,Lagos,POINT (3.48151 6.63121)
37,Lagos University Anthony Campus,Adult Education,Public,Anthony,Kosofe,Lagos,POINT (3.36694 6.56338)
38,Tombey Foundational School,Standard,Private,Bamgbe/Elebiju,Kosofe,Lagos,POINT (3.38897 6.59237)
39,Government Technical College Ikorodu,Standard,Public,Erukan/Orishigun,Kosofe,Lagos,POINT (3.393564281248781 6.606389642547226)
40,Lagos Cambridge School,Standard,Private,Shangisha/Magodo,Kosofe,Lagos,POINT (3.372523936532415 6.61755912675243)
41,Lagos State University,Adult Education,Public,Igbo-Elerin,Ojo,Lagos,POINT (3.20403 6.46195)
42,Lagos University Of Medicals And Health Sciences,Adult Education,Public Private,Ijanikin,Ojo,Lagos,POINT (3.12338 6.49198)
43,Harmony Study Center,Standard,Private,Ilogbo- Elegba,Ojo,Lagos,POINT (3.15799 6.46331)
44,National Postgraduate Medical College,Standard,Public,Oto-Awori,Ojo,Lagos,POINT (3.14513 6.49391)
45,Adeniran Ogunsanya College Of Education Lagos Badagry Express,Standard,Public,Oto-Awori,Ojo,Lagos,POINT (3.114631167766809 6.499024364082248)
46,Ronik Polytechnic,Standard,Private,Ailegun,Oshodi/Isolo,Lagos,POINT (3.295070291579333 6.537251788170151)
47,Lagos State Polytechnic,Standard,Public,Ilasamaja,Oshodi/Isolo,Lagos,POINT (3.334004597884679 6.53055105120966)
48,Lagos State University,Adult Education,Public,Okota,Oshodi/Isolo,Lagos,POINT (3.31899 6.51282)
49,Grace Polytechnic,Standard,Private,Shitta Bank Olemoh,Surulere,Lagos,POINT (3.355311698009966 6.50130450898627)
50,Federal Technical School Akoka,Standard,Public,Abule Oja,Lagos Mainland,Lagos,POINT (3.385828979820072 6.523773577345318)
51,Federal College Of Education Akoka,Standard,Public,Abule Oja,Lagos Mainland,Lagos,POINT (3.384987175481132 6.521907148206652)
52,University Of Lagos,Adult Education,Public,Abule Oja,Lagos Mainland,Lagos,POINT (3.385266823587289 6.517367301951594)
53,St Augustine College Of Education,Standard,Faith Based,Abule Oja,Lagos Mainland,Lagos,POINT (3.387125478406827 6.523832448952197)
